home_team,away_team,tournament,city,country,neutral,result
Qatar,Oman,Gulf Cup,Doha,Qatar,FALSE,0
Ecuador,Paraguay,FIFA World Cup qualification,Quito,Ecuador,FALSE,2
Belgium,El Salvador,FIFA World Cup,Elche,Spain,TRUE,2
Germany,Sweden,Friendly,Cologne,Germany,FALSE,2
Yemen,Iraq,FIFA World Cup qualification,Al Ain,United Arab Emirates,TRUE,0
Spain,Bosnia and Herzegovina,FIFA World Cup qualification,Valencia,Spain,FALSE,0
Kenya,Switzerland,Friendly,Mombasa,Kenya,FALSE,0
Switzerland,Turkey,UEFA Euro qualification,Berne,Switzerland,FALSE,1
Chile,Ecuador,Friendly,Santiago,Chile,FALSE,0
Cambodia,Western Australia,Indonesia Tournament,Jakarta,Indonesia,TRUE,0
Germany,Italy,Friendly,Berlin,Germany,FALSE,2
Cape Verde,Guinea-Bissau,Amílcar Cabral Cup,Bamako,Mali,TRUE,2
Seychelles,Madagascar,COSAFA Cup,Windhoek,Namibia,TRUE,1
Rwanda,Zanzibar,CECAFA Cup,Arusha,Tanzania,TRUE,2
Sudan,Ghana,African Cup of Nations qualification,Omdurman,Sudan,FALSE,2
Poland,Republic of Ireland,Friendly,Łódź,Poland,FALSE,2
India,Indonesia,Asian Games,Bangkok,Thailand,TRUE,2
Northern Ireland,Switzerland,FIFA World Cup qualification,Belfast,Northern Ireland,FALSE,2
Denmark,Bulgaria,Friendly,Odense,Denmark,FALSE,0
Gabon,Zimbabwe,FIFA World Cup qualification,Libreville,Gabon,FALSE,0
Denmark,Switzerland,Friendly,Copenhagen,Denmark,FALSE,0
Iraq,Tajikistan,Friendly,Basra,Iraq,FALSE,0
Sudan,Uganda,African Cup of Nations qualification,Khartoum,Sudan,FALSE,2
Ecuador,Paraguay,Copa América,La Paz,Bolivia,TRUE,1
Mexico,Chile,Friendly,Los Angeles,United States,TRUE,1
Peru,Venezuela,Friendly,Miami,United States,TRUE,2
Kenya,Ethiopia,CECAFA Cup,Kampala,Uganda,TRUE,2
Yugoslavia,Luxembourg,FIFA World Cup qualification,Belgrade,Yugoslavia,FALSE,2
Germany,Wales,UEFA Euro qualification,Cologne,Germany,FALSE,2
South Africa,Iraq,Confederations Cup,Johannesburg,South Africa,FALSE,0
Iceland,Luxembourg,UEFA Euro qualification,Reykjavík,Iceland,FALSE,0
El Salvador,Serbia,Friendly,San Salvador,El Salvador,FALSE,1
Yemen,Tanzania,Friendly,Sana'a,Yemen,FALSE,2
Zimbabwe,Seychelles,COSAFA Cup,Rustenburg,South Africa,TRUE,2
Poland,German DR,FIFA World Cup qualification,Chorzów,Poland,FALSE,2
Central African Republic,South Africa,FIFA World Cup qualification,Yaoundé,Cameroon,TRUE,1
Oman,Bahrain,Friendly,Dubai,United Arab Emirates,TRUE,0
Norway,Saudi Arabia,Friendly,Molde,Norway,FALSE,2
Chile,Colombia,Copa América,Santiago,Chile,FALSE,0
Thailand,Vietnam Republic,Southeast Asian Peninsular Games,Rangoon,Burma,TRUE,0
United States,Guatemala,CONCACAF Championship,New Britain,United States,FALSE,2
Mexico,Bermuda,CONCACAF Nations League,Mexico City,Mexico,FALSE,2
Laos,Cambodia,AFF Championship,Hanoi,Vietnam,TRUE,2
Ecuador,Bolivia,Friendly,Guayaquil,Ecuador,FALSE,2
South Korea,Malaysia,Indonesia Tournament,Jakarta,Indonesia,TRUE,1
Singapore,Myanmar,Southeast Asian Games,Singapore,Singapore,FALSE,0
Saint Vincent and the Grenadines,Honduras,FIFA World Cup qualification,Kingstown,Saint Vincent and the Grenadines,FALSE,1
Vietnam,Indonesia,FIFA World Cup qualification,Dubai,United Arab Emirates,TRUE,2
South Korea,Thailand,FIFA World Cup qualification,Seoul,South Korea,FALSE,0
Belgium,France,Friendly,Liège,Belgium,FALSE,2
Mauritius,Réunion,Friendly,Curepipe,Mauritius,FALSE,2
Sudan,Mauritania,Arab Cup qualification,Beirut,Lebanon,TRUE,2
Denmark,Romania,FIFA World Cup qualification,Copenhagen,Denmark,FALSE,0
Honduras,El Salvador,CONCACAF Championship,Tegucigalpa,Honduras,FALSE,0
Spain,Portugal,UEFA Nations League,Sevilla,Spain,FALSE,0
North Korea,Jordan,FIFA World Cup qualification,Pyongyang,North Korea,FALSE,2
Oman,Qatar,Gulf Cup,Kuwait City,Kuwait,TRUE,1
Finland,Sweden,Nordic Championship,Helsinki,Finland,FALSE,1
Lesotho,Mauritania,Friendly,Pretoria,South Africa,TRUE,2
Kazakhstan,United Arab Emirates,FIFA World Cup qualification,Almaty,Kazakhstan,FALSE,2
Gabon,Angola,FIFA World Cup qualification,Libreville,Gabon,FALSE,0
Kenya,Uganda,Friendly,Nairobi,Kenya,FALSE,1
Mauritius,Namibia,COSAFA Cup,Mapou,Mauritius,FALSE,2
Mexico,Hungary,Friendly,Puebla,Mexico,FALSE,0
Poland,Estonia,Friendly,Ostrowiec Świętokrzyski,Poland,FALSE,2
Oman,Togo,Friendly,Sohar,Oman,FALSE,1
Fiji,Solomon Islands,South Pacific Games,Suva,Lautoka,FALSE,2
Egypt,Togo,African Cup of Nations,Abidjan,Ivory Coast,TRUE,0
Saint Vincent and the Grenadines,Nicaragua,CONCACAF Nations League qualification,Kingstown,Saint Vincent and the Grenadines,FALSE,1
South Korea,Norway,Lunar New Year Cup,So Kon Po,Hong Kong,TRUE,1
Guam,Northern Mariana Islands,Friendly,Koror,Palau,TRUE,1
Zambia,Sudan,FIFA World Cup qualification,Lusaka,Zambia,FALSE,2
New Zealand,Paraguay,Friendly,Wellington,New Zealand,FALSE,1
Bulgaria,Romania,Friendly,Varna,Bulgaria,FALSE,1
Indonesia,German DR,Friendly,Jakarta,Indonesia,FALSE,0
North Macedonia,Scotland,FIFA World Cup qualification,Skopje,North Macedonia,FALSE,2
Latvia,Estonia,Friendly,Riga,Latvia,FALSE,0
Saudi Arabia,Iran,AFC Asian Cup,Dubai,United Arab Emirates,TRUE,1
Bosnia and Herzegovina,Italy,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,FALSE,1
Lesotho,Seychelles,African Cup of Nations qualification,Soweto,South Africa,TRUE,2
Russia,Finland,UEFA Euro qualification,Moscow,Soviet Union,FALSE,2
Mexico,Bulgaria,FIFA World Cup,East Rutherford,United States,TRUE,0
Padania,Iraqi Kurdistan,Viva World Cup,Verona,Italy,FALSE,2
Trinidad and Tobago,Dominican Republic,CFU Caribbean Cup qualification,Couva,Trinidad and Tobago,FALSE,2
Trinidad and Tobago,Grenada,CFU Caribbean Cup,Kingston,Jamaica,TRUE,1
New Caledonia,Fiji,Oceania Nations Cup,Nouméa,New Caledonia,FALSE,2
Wales,Turkey,FIFA World Cup qualification,Cardiff,Wales,FALSE,2
Costa Rica,Mexico,CONCACAF Championship,Port of Spain,Trinidad and Tobago,TRUE,1
Mali,Chad,FIFA World Cup qualification,Bamako,Mali,FALSE,2
Egypt,Tunisia,Friendly,Ismaila,Egypt,FALSE,2
Saudi Arabia,Mali,Friendly,Riyadh,Saudi Arabia,FALSE,2
Solomon Islands,Vanuatu,Friendly,Honiara,Solomon Islands,FALSE,0
Costa Rica,Canada,Friendly,San José,Costa Rica,FALSE,1
Spain,North Macedonia,UEFA Euro qualification,Valencia,Spain,FALSE,2
Mongolia,Macau,East Asian Games,Shanghai,China PR,TRUE,2
Switzerland,Germany,Friendly,Berne,Switzerland,FALSE,1
United Arab Emirates,Australia,Friendly,Abu Dhabi,United Arab Emirates,FALSE,0
Yugoslavia,Greece,Friendly,Novi Sad,Yugoslavia,FALSE,2
Jamaica,Trinidad and Tobago,Friendly,Kingston,Jamaica,FALSE,0
Andorra,Malta,UEFA Nations League,Andorra la Vella,Andorra,FALSE,0
England,Italy,UEFA Euro,London,England,FALSE,0
Denmark,Liechtenstein,Friendly,Horsens,Denmark,FALSE,2
Uganda,Libya,Friendly,Kampala,Uganda,FALSE,0
Moldova,Faroe Islands,UEFA Euro qualification,Chișinău,Moldova,FALSE,0
Brazil,Peru,Copa América,Cali,Colombia,TRUE,2
Sweden,Croatia,UEFA Nations League,Stockholm,Sweden,FALSE,2
Malaysia,Cambodia,Friendly,Petaling Jaya,Malaysia,FALSE,2
Bosnia and Herzegovina,Brazil,Friendly,St. Gallen,Switzerland,TRUE,1
Uganda,Tanzania,CECAFA Cup,Mumias,Kenya,TRUE,2
El Salvador,United States,Friendly,San Salvador,El Salvador,FALSE,0
Malaysia,Hong Kong,Friendly,Johor Bahru,Malaysia,FALSE,2
Panama,Venezuela,Friendly,Panama City,Panama,FALSE,2
Philippines,Cambodia,AFC Challenge Cup qualification,Manila,Philippines,FALSE,2
Oman,Bahrain,Gulf Cup,Muscat,Oman,FALSE,2
Tahiti,Solomon Islands,South Pacific Games,Papeete,French Polynesia,TRUE,2
Gabon,Nigeria,Friendly,Libreville,Gabon,FALSE,0
Jamaica,Curaçao,Friendly,Kingston,Jamaica,FALSE,1
Gabon,Guinea,Friendly,Compiègne,France,TRUE,0
Antigua and Barbuda,Guyana,Friendly,St. John's,Antigua and Barbuda,FALSE,2
Syria,Lebanon,Arab Cup,Kuwait City,Kuwait,TRUE,2
Bonaire,United States Virgin Islands,CONCACAF Nations League,Willemstad,Curaçao,TRUE,2
Singapore,South Korea,Friendly,Kallang,Singapore,FALSE,1
France,Yugoslavia,FIFA World Cup qualification,Paris,France,FALSE,2
Argentina,Uruguay,Copa Premio Honor Argentino,Buenos Aires,Argentina,FALSE,2
Congo,Uganda,Africa Cup of Nations qualification,Pointe-Noire,Congo,FALSE,2
Switzerland,Argentina,Friendly,Berne,Switzerland,FALSE,0
South Africa,Botswana,Friendly,Umlazi,South Africa,FALSE,2
Mexico,Costa Rica,Gold Cup,Mexico City,Mexico,FALSE,2
Finland,Norway,Nordic Championship,Helsinki,Finland,FALSE,2
Guyana,Suriname,Friendly,Georgetown,British Guyana,FALSE,1
South Africa,Congo,African Cup of Nations qualification,Johannesburg,South Africa,FALSE,0
Bulgaria,Sweden,UEFA Euro qualification,Burgas,Bulgaria,FALSE,1
France,Greece,Friendly,Nîmes,France,FALSE,2
Jordan,Iraq,Friendly,Amman,Jordan,FALSE,0
Thailand,Myanmar,AFF Championship,Bangkok,Thailand,FALSE,2
Barawa,Ellan Vannin,CONIFA World Football Cup,Rotherhithe,England,FALSE,2
Turkey,Estonia,FIFA World Cup qualification,Kayseri,Turkey,FALSE,2
Sierra Leone,Senegal,Amílcar Cabral Cup,Freetown,Sierra Leone,FALSE,2
Cuba,Cameroon,Friendly,Port-au-Prince,Haiti,TRUE,0
Chile,Paraguay,Friendly,Viña del Mar,Chile,FALSE,2
Iceland,Hungary,UEFA Euro,Marseille,France,TRUE,0
Madagascar,Seychelles,COSAFA Cup qualification,Witbank,South Africa,TRUE,0
Austria,England,FIFA World Cup,Borås,Sweden,TRUE,0
Hungary,Austria,Friendly,Budapest,Hungary,FALSE,2
Gibraltar,Greenland,Island Games,St. Martin,Guernsey,TRUE,2
Japan,Brazil,Friendly,Tokyo,Japan,FALSE,1
India,Tajikistan,AFC Challenge Cup,Hyderabad,India,FALSE,0
China PR,Albania,Friendly,Beijing,China PR,FALSE,2
Jamaica,Mexico,CONCACAF Championship,San José,Costa Rica,TRUE,1
Indonesia,Thailand,Southeast Asian Games,Jakarta,Indonesia,FALSE,1
Honduras,Jamaica,FIFA World Cup qualification,Tegucigalpa,Honduras,FALSE,2
Bulgaria,Poland,Friendly,Sofia,Bulgaria,FALSE,0
Argentina,Venezuela,FIFA World Cup qualification,Buenos Aires,Argentina,FALSE,2
Curaçao,Guyana,Gold Cup qualification,Willemstad,Netherlands Antilles,FALSE,2
Montenegro,Armenia,FIFA World Cup qualification,Podgorica,Montenegro,FALSE,2
Sweden,Belgium,Olympic Games,Colombes,France,TRUE,2
Finland,Sweden,Friendly,Helsinki,Finland,FALSE,1
French Guiana,Suriname,CFU Caribbean Cup qualification,Cayenne,French Guiana,FALSE,2
Guatemala,Paraguay,Friendly,Washington,United States,TRUE,0
India,Saint Kitts and Nevis,Friendly,Bombay,India,FALSE,0
Wales,Luxembourg,Friendly,Llanelli,Wales,FALSE,2
Bolivia,Honduras,Friendly,Cochabamba,Bolivia,FALSE,2
Italy,England,Friendly,Turin,Italy,FALSE,2
Germany,Denmark,Friendly,Hamburg,Germany,FALSE,2
Armenia,North Macedonia,FIFA World Cup qualification,Yerevan,Armenia,FALSE,1
Russia,Switzerland,UEFA Euro qualification,Kyiv,Soviet Union,FALSE,2
Tunisia,Bulgaria,Friendly,Tunis,Tunisia,FALSE,0
Brazil,Argentina,Copa América,Rio de Janeiro,Brazil,FALSE,2
Kenya,Zanzibar,Friendly,Dar es Salaam,Tanganyika,TRUE,2
Jordan,Malaysia,Friendly,Amman,Jordan,FALSE,2
Italy,Switzerland,Friendly,Rome,Italy,FALSE,2
Algeria,Tunisia,African Cup of Nations,Franceville,Gabon,TRUE,1
Costa Rica,Trinidad and Tobago,FIFA World Cup qualification,Cartago,Costa Rica,FALSE,2
Jamaica,Costa Rica,Friendly,Kingston,Jamaica,FALSE,2
Equatorial Guinea,Sierra Leone,African Cup of Nations qualification,Malabo,Equatorial Guinea,FALSE,1
El Salvador,Jamaica,Gold Cup,Houston,United States,TRUE,0
Morocco,Gabon,Friendly,Rabat,Morocco,FALSE,2
German DR,Denmark,UEFA Euro qualification,Leipzig,German DR,FALSE,2
Sweden,Iceland,Friendly,Halmstad,Sweden,FALSE,0
Kenya,Ethiopia,CECAFA Cup,Nairobi,Kenya,FALSE,2
Croatia,Iran,Friendly,Osijek,Croatia,FALSE,0
Ivory Coast,Ghana,West African Cup,Abidjan,Ivory Coast,FALSE,1
Egypt,Uganda,African Cup of Nations,Addis Ababa,Ethiopia,TRUE,2
Germany,Costa Rica,FIFA World Cup,Munich,Germany,FALSE,2
Japan,Argentina,Friendly,Saitama,Japan,FALSE,1
Ghana,Ivory Coast,Friendly,Accra,Ghana,FALSE,0
DR Congo,Kenya,Nile Basin Tournament,Cairo,Egypt,TRUE,2
Greece,Romania,Friendly,Athens,Greece,FALSE,1
Mozambique,Libya,African Cup of Nations qualification,Maputo,Mozambique,FALSE,2
Hungary,Peru,Friendly,Budapest,Hungary,FALSE,1
Brazil,Finland,Friendly,Brasília,Brazil,FALSE,2
Morocco,DR Congo,Friendly,Settat,Morocco,FALSE,2
British Virgin Islands,Anguilla,Friendly,Road Town,British Virgin Islands,FALSE,2
Morocco,Egypt,Friendly,Marrakech,Morocco,FALSE,0
Bulgaria,Switzerland,UEFA Euro qualification,Sofia,Bulgaria,FALSE,0
Bulgaria,Czechoslovakia,FIFA World Cup qualification,Sofia,Bulgaria,FALSE,0
India,Myanmar,Friendly,Calcutta,India,FALSE,2
South Korea,Bahrain,Korea Cup,Daegu,South Korea,FALSE,2
Burkina Faso,Uganda,African Cup of Nations qualification,Ouagadougou,Burkina Faso,FALSE,0
Hungary,Romania,Friendly,Budapest,Hungary,FALSE,2
Italy,Argentina,CONMEBOL–UEFA Cup of Champions,Paris,France,TRUE,1
El Salvador,Nicaragua,UNCAF Cup,Panama City,Panama,TRUE,2
Japan,South Korea,Asian Games,Bangkok,Thailand,TRUE,1
Haiti,Jamaica,Friendly,Port-au-Prince,Haiti,FALSE,2
Nigeria,South Africa,FIFA World Cup qualification,Lagos,Nigeria,FALSE,2
Chile,Uruguay,Friendly,Santiago,Chile,FALSE,2
Malta,Georgia,Malta International Tournament,Attard,Malta,FALSE,1
Kenya,Algeria,African Cup of Nations qualification,Nairobi,Kenya,FALSE,0
Germany,Finland,Friendly,Leipzig,Germany,FALSE,2
South Korea,China PR,FIFA World Cup qualification,Seoul,South Korea,FALSE,2
Tunisia,Libya,African Cup of Nations qualification,Tunis,Tunisia,FALSE,2
Uruguay,Peru,FIFA World Cup qualification,Montevideo,Uruguay,FALSE,2
Guatemala,Canada,Gold Cup,Houston,United States,TRUE,0
Romania,Belarus,Friendly,Ploiești,Romania,FALSE,2
Morocco,Niger,Friendly,Marrakech,Morocco,FALSE,2
Angola,Chad,FIFA World Cup qualification,Luanda,Angola,FALSE,2
Mapuche,Aymara,CONIFA South America Football Cup,Linares,Chile,TRUE,2
Iraq,Saudi Arabia,Asian Games,Bangkok,Thailand,TRUE,0
Lesotho,Eswatini,Friendly,Maseru,Lesotho,FALSE,1
Morocco,DR Congo,FIFA World Cup qualification,Casablanca,Morocco,FALSE,2
Kenya,Somalia,CECAFA Cup,Dar es Salaam,Tanzania,TRUE,2
Barbados,Grenada,Friendly,Bridgetown,Barbados,FALSE,2
Martinique,Dominican Republic,Gold Cup qualification,George Town,Cayman Islands,TRUE,2
Qatar,Singapore,King's Cup,Bangkok,Thailand,TRUE,2
Greece,Turkey,Friendly,Athens,Greece,FALSE,1
Taiwan,Australia,FIFA World Cup qualification,Kaohsiung,Taiwan,FALSE,1
Poland,Israel,UEFA Euro qualification,Warsaw,Poland,FALSE,2
Czechoslovakia,Wales,FIFA World Cup qualification,Prague,Czechoslovakia,FALSE,2
Egypt,Ghana,Korea Cup,Seoul,South Korea,TRUE,2
New Caledonia,Tahiti,South Pacific Games,Suva,Fiji,TRUE,2
Hungary,Israel,Friendly,Budapest,Hungary,FALSE,0
Tajikistan,North Korea,Intercontinental Cup,Ahmedabad,India,TRUE,1
Australia,Kuwait,AFC Asian Cup qualification,Canberra,Australia,FALSE,1
Scotland,Liechtenstein,UEFA Euro qualification,Glasgow,Scotland,FALSE,2
France,England,Friendly,Colombes,France,FALSE,1
Saint Lucia,Guadeloupe,CONCACAF Nations League,Gros Islet,Saint Lucia,FALSE,2
Burkina Faso,Niger,Tournament Burkina Faso,Ouagadougou,Burkina Faso,FALSE,2
Kenya,Zambia,CECAFA Cup,Kampala,Uganda,TRUE,1
Iceland,Andorra,UEFA Euro qualification,Reykjavík,Iceland,FALSE,2
Equatorial Guinea,Burkina Faso,African Cup of Nations,Bata,Equatorial Guinea,FALSE,0
England,France,Friendly,London,England,FALSE,0
Namibia,Mauritius,COSAFA Cup,Moruleng-Saulspoort,South Africa,TRUE,2
Ethiopia,Rwanda,CECAFA Cup,Addis Ababa,Ethiopia,FALSE,1
Central African Republic,Guinea-Bissau,African Cup of Nations qualification,Brazzaville,Congo,TRUE,0
Malawi,Zambia,Friendly,Blantyre,Malawi,FALSE,2
Guyana,Suriname,Friendly,Georgetown,Guyana,FALSE,0
Kenya,Burundi,CECAFA Cup,Hawassa,Ethiopia,TRUE,0
Zambia,Mozambique,African Cup of Nations qualification,Lusaka,Zambia,FALSE,2
Guatemala,Honduras,Friendly,Fort Lauderdale,United States,TRUE,1
Slovakia,Slovenia,Friendly,Trnava,Slovakia,FALSE,0
Uzbekistan,Philippines,FIFA World Cup qualification,Tashkent,Uzbekistan,FALSE,2
Botswana,DR Congo,Friendly,Gaborone,Botswana,FALSE,0
Kuwait,Jordan,AFC Asian Cup qualification,Kuwait City,Kuwait,FALSE,1
Iran,Maldives,FIFA World Cup qualification,Tehran,Iran,FALSE,2
Japan,Scotland,Kirin Cup,Hiroshima,Japan,FALSE,0
Egypt,Morocco,FIFA World Cup qualification,Cairo,Egypt,FALSE,0
Madagascar,Mauritius,Friendly,Antananarivo,Madagascar,FALSE,2
Bahrain,United Arab Emirates,Gulf Cup,Basra,Iraq,TRUE,2
Argentina,Yugoslavia,Friendly,Mar del Plata,Argentina,FALSE,0
United States,Scotland,Friendly,Jacksonville,United States,FALSE,2
Austria,Sweden,FIFA World Cup qualification,Vienna,Austria,FALSE,0
Italy,Moldova,FIFA World Cup qualification,Lecce,Italy,FALSE,2
Czechoslovakia,Romania,Friendly,Prague,Czechoslovakia,FALSE,2
Barbados,Saint Lucia,Windward Islands Tournament,St. George's,Grenada,TRUE,0
Vatican City,Monaco,Friendly,Rome,Italy,FALSE,1
Niger,Togo,Friendly,Niamey,Niger,FALSE,2
Northern Ireland,Scotland,British Home Championship,Belfast,Ireland,FALSE,1
Zambia,Congo,African Cup of Nations qualification,Chililabombwe,Zambia,FALSE,2
France,German DR,UEFA Euro qualification,Paris,France,FALSE,1
Jordan,Iraq,Friendly,Amman,Jordan,FALSE,2
North Korea,Kuwait,FIFA World Cup qualification,Tehran,Iran,TRUE,0
Paraguay,Mexico,Friendly,Pedro Juan Caballero,Paraguay,FALSE,2
Latvia,Netherlands,FIFA World Cup qualification,Riga,Latvia,FALSE,1
El Salvador,Costa Rica,FIFA World Cup qualification,San Salvador,El Salvador,FALSE,1
Indonesia,Malaysia,AFC Asian Cup qualification,Singapore,Singapore,TRUE,0
Switzerland,France,Friendly,Basel,Switzerland,FALSE,2
Grenada,United States,FIFA World Cup qualification,St. George's,Grenada,FALSE,1
Yemen,Bangladesh,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,TRUE,0
Burundi,Djibouti,African Cup of Nations qualification,Bujumbura,Burundi,FALSE,2
Spain,Republic of Ireland,FIFA World Cup qualification,Seville,Spain,FALSE,2
Gambia,Sierra Leone,Friendly,El Jadida,Morocco,TRUE,1
Jamaica,Costa Rica,Friendly,Kingston,Jamaica,FALSE,0
Jamaica,Grenada,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,TRUE,2
Georgia,Croatia,UEFA Euro qualification,Tbilisi,Georgia,FALSE,2
Saint Kitts and Nevis,Antigua and Barbuda,CFU Caribbean Cup qualification,Macoya,Trinidad and Tobago,TRUE,1
Tonga,American Samoa,FIFA World Cup qualification,‘Atele,Tonga,FALSE,1
Japan,Belgium,Kirin Cup,Tokyo,Japan,FALSE,2
Isle of Man,Falkland Islands,Island Games,Saint Martin,Guernsey,TRUE,2
American Samoa,Fiji,Pacific Games,Apia,Samoa,TRUE,1
Tunisia,Tanzania,African Cup of Nations qualification,Radès,Tunisia,FALSE,2
Niger,Senegal,African Cup of Nations qualification,Niamey,Niger,FALSE,0
Zanzibar,Ethiopia,Friendly,Zanzibar,Zanzibar,FALSE,1
South Africa,Senegal,Friendly,Durban,South Africa,FALSE,0
Myanmar,Indonesia,Friendly,Yangon,Myanmar,FALSE,2
Turkey,Kazakhstan,FIFA World Cup qualification,Istanbul,Turkey,FALSE,2
Kyrgyzstan,Palestine,AFC Challenge Cup qualification,Kathmandu,Nepal,TRUE,0
Peru,Ecuador,FIFA World Cup qualification,Lima,Peru,FALSE,2
Georgia,Republic of Ireland,UEFA Euro qualification,Tbilisi,Georgia,FALSE,0
Scotland,Northern Ireland,British Home Championship,Glasgow,Scotland,FALSE,2
Cameroon,Sudan,Friendly,Marrakech,Morocco,TRUE,2
Argentina,Uruguay,Copa Newton,Buenos Aires,Argentina,FALSE,2
Turkmenistan,Tajikistan,Friendly,Ashgabat,Turkmenistan,FALSE,2
Brazil,Colombia,FIFA World Cup qualification,São Paulo,Brazil,FALSE,2
Northern Ireland,Turkey,FIFA World Cup qualification,Belfast,Northern Ireland,FALSE,2
Indonesia,Puerto Rico,Friendly,Sleman,Indonesia,FALSE,0
Saint Lucia,Panama,FIFA World Cup qualification,Vieux Fort,Saint Lucia,FALSE,1
United States,Barbados,FIFA World Cup qualification,Foxborough,United States,FALSE,2
Gotland,Ynys Môn,Island Games,Freshwater,England,TRUE,1
Italy,Yugoslavia,FIFA World Cup qualification,Turin,Italy,FALSE,2
Bahrain,United Arab Emirates,Gulf Cup,Baghdad,Iraq,TRUE,2
Canada,Brazil,Friendly,Edmonton,Canada,FALSE,0
Czech Republic,Bosnia and Herzegovina,UEFA Euro qualification,Teplice,Czech Republic,FALSE,2
Australia,Colombia,Friendly,London,England,TRUE,0
Saudi Arabia,Qatar,Friendly,Dammam,Saudi Arabia,FALSE,2
Guinea-Bissau,Mauritania,Amílcar Cabral Cup,Ségou,Mali,TRUE,2
Kenya,Uganda,Friendly,Nairobi,Kenya,FALSE,0
Hungary,Croatia,Friendly,Pécs,Hungary,FALSE,1
Székely Land,Raetia,Friendly,Sepsiszentgyörgy,Romania,FALSE,2
Netherlands,Belgium,Friendly,Dordrecht,Netherlands,FALSE,2
Mexico,Cameroon,Friendly,Los Angeles,United States,TRUE,2
Tajikistan,Syria,FIFA World Cup qualification,Tursunzoda,Tajikistan,FALSE,2
Portugal,Luxembourg,UEFA Euro qualification,São João da Venda,Portugal,FALSE,2
Thailand,Singapore,King's Cup,Bangkok,Thailand,FALSE,2
Rwanda,Kenya,Friendly,Kigali,Rwanda,FALSE,0
Ghana,Ivory Coast,Friendly,Accra,Ghana,FALSE,2
Gibraltar,Republic of Ireland,UEFA Euro qualification,Gibraltar,Gibraltar,FALSE,1
Malta,Croatia,UEFA Euro qualification,Attard,Malta,FALSE,1
Lithuania,Estonia,Baltic Cup,Kaunas,Lithuania,FALSE,2
North Vietnam,Cuba,Friendly,Hanoi,Vietnam DR,FALSE,2
Yugoslavia,Denmark,UEFA Euro qualification,Belgrade,Yugoslavia,FALSE,1
Eswatini,Zambia,Friendly,Bulawayo,Zimbabwe,TRUE,1
Kuwait,United Arab Emirates,FIFA World Cup qualification,Kuwait City,Kuwait,FALSE,1
Angola,Malawi,African Cup of Nations qualification,Luanda,Angola,FALSE,2
Gabon,Tunisia,African Cup of Nations,Durban,South Africa,TRUE,0
Switzerland,France,Friendly,Basel,Switzerland,FALSE,2
Moldova,Sweden,FIFA World Cup qualification,Chișinău,Moldova,FALSE,1
Thailand,Vietnam,Southeast Asian Games,Chiang Mai,Thailand,FALSE,2
Poland,Belgium,UEFA Euro qualification,Chorzów,Poland,FALSE,2
Thailand,Saudi Arabia,Asian Games,Miyoshi,Japan,TRUE,1
Orkney,Isle of Man,Island Games,Saint Sampson,Guernsey,TRUE,1
Uzbekistan,Thailand,AFC Asian Cup qualification,Namangan,Uzbekistan,FALSE,2
Madagascar,Mauritius,Friendly,Antananarivo,Madagascar,FALSE,2
Kosovo,Andorra,UEFA Euro qualification,Pristina,Kosovo,FALSE,0
Jamaica,El Salvador,FIFA World Cup qualification,Kingston,Jamaica,FALSE,0
England,Panama,FIFA World Cup,Nizhny Novgorod,Russia,TRUE,2
San Marino,Scotland,UEFA Euro qualification,Serravalle,San Marino,FALSE,1
Turkmenistan,Guam,FIFA World Cup qualification,Ashgabat,Turkmenistan,FALSE,2
Myanmar,Vietnam,AFF Championship,Yangon,Myanmar,FALSE,0
Singapore,Thailand,Friendly,Singapore,Singapore,FALSE,0
El Salvador,Honduras,Friendly,San Salvador,El Salvador,FALSE,2
Saint Martin,Saint Kitts and Nevis,CONCACAF Nations League qualification,The Valley,Anguilla,TRUE,1
Luxembourg,Georgia,Friendly,Luxembourg,Luxembourg,FALSE,2
Hong Kong,Cambodia,Friendly,Kallang,Singapore,TRUE,2
Costa Rica,Haiti,Friendly,San José,Costa Rica,FALSE,0
Austria,Russia,Friendly,Vienna,Austria,FALSE,2
Kenya,Ghana,Friendly,Nairobi,Kenya,FALSE,1
India,Singapore,Merdeka Tournament,Kuala Lumpur,Malaya,TRUE,2
Bolivia,Egypt,Confederations Cup,Mexico City,Mexico,TRUE,0
Turkey,Romania,Friendly,İzmir,Turkey,FALSE,0
Tanzania,Uganda,Friendly,Dar es Salaam,Tanganyika,FALSE,2
Tajikistan,Uzbekistan,FIFA World Cup qualification,Tursunzoda,Tajikistan,FALSE,1
Thailand,Kuwait,Asian Games,Beijing,China PR,TRUE,2
Serbia,Luxembourg,FIFA World Cup qualification,Belgrade,Yugoslavia,TRUE,2
Croatia,Turkey,FIFA World Cup qualification,Zagreb,Croatia,FALSE,0
Bangladesh,Malaysia,FIFA World Cup qualification,Jeddah,Saudi Arabia,TRUE,1
Sweden,Czechoslovakia,Friendly,Solna,Sweden,FALSE,1
Azerbaijan,Moldova,FIFA World Cup qualification,Baku,Azerbaijan,FALSE,0
North Macedonia,Malta,Friendly,Prilep,North Macedonia,FALSE,2
DR Congo,Guinea,Friendly,Kinshasa,Zaïre,FALSE,2
